user_id,id,transaction_date,item_count,amount
306ad1ef-8c6d-4c13-aac2-3308c122dac1,4e619884-7753-4358-a1dc-551072ea9bd6,06-04-2023 13:14:03,3.0,81.0
7d59afbc-1325-49a1-8a9b-525709bb38f8,5edb7fc0-2509-46d7-a7ba-9d343c549385,06-06-2023 19:05:48,1.0,20.0
bec761bf-f8f1-4cf6-b3e6-4bcd66930093,cdb6b378-be53-40ce-8f37-c946884073ac,06-04-2023 07:47:05,3.0,84.0
6cfb728a-4b34-4fa7-ad55-d47c0b214076,e6159370-a16d-4988-8520-27a588a6c386,06-04-2023 09:46:13,2.0,52.0
724b7d77-ef1b-4a46-b989-d3ff066ced8a,7851e94e-662d-48b7-9581-0d9f584a37e7,06-06-2023 19:54:54,2.0,24.0
8a8d2617-5d6a-4cdf-9ed0-a885c4295fd0,f6f8446d-8041-4c13-8669-465709da2cb2,06-07-2023 02:09:18,1.0,34.0
97a794b3-f90d-4c9f-8a9d-3b6e6bb0d746,06c905a0-9991-4d69-ae9b-ed5bf58f8163,06-04-2023 19:54:07,2.0,76.0
ec1cb92f-3d38-46f5-a163-4c0c479e2e5a,6f827f3b-8993-4ddc-9ee8-25aa38107976,06-07-2023 13:33:34,3.0,93.0
6a98ad2d-38fa-47d5-8c51-917bdfb132c6,a9ce8331-428c-4a5d-a6c3-8e43048c676c,06-07-2023 02:56:30,2.0,54.0
cd8d01f1-49b0-4542-a7c5-ef586b34bf27,9007c0d7-1229-41f8-9ad9-4392c6889035,06-04-2023 12:06:00,1.0,12.0
77b4f313-5032-4855-b556-434cf613e5e5,6a7d2d83-d4c7-42fc-bdfd-31e5ec4d0b35,06-09-2023 11:10:36,3.0,90.0
d92addbf-2808-4934-82c3-1113b8d165c8,98cbb37c-bfc5-4486-b179-ffe99231800a,06-01-2023 09:28:32,2.0,34.0
71d93d0e-477a-4489-b60e-1022dc2d1216,e29a33fd-7e7c-491b-85a0-2fe810798e9a,06-07-2023 03:33:51,2.0,70.0
441f2928-a93e-4372-950f-287e52b5fdc6,eba937bc-dba2-440e-aed6-789ea6a55b82,06-06-2023 16:42:11,1.0,39.0
68fd578a-1e69-47cc-8aa2-e37811342e78,bd0c3e17-71c8-4b8c-9dfb-28c5d335d307,06-07-2023 22:49:15,3.0,33.0
76b3b68b-b5bb-4593-87b0-6ae3b7aaf617,655ae5ca-e711-4a17-9b9f-8c3b1c5a80a5,06-07-2023 22:26:16,2.0,46.0
562dc061-932b-40e6-be6d-8f43b3049a0c,f9249e96-dc34-415b-b2a8-d9a74ce6fd30,06-09-2023 09:38:19,2.0,44.0
4f55d688-855d-4e4d-afe7-6b6f1d80975c,e9f21e13-8f7c-4869-88ee-c9b987ebe345,06-07-2023 11:37:17,2.0,26.0
9194e071-3a53-413f-8d84-37f0d30c361d,f19661dc-e57d-4a35-a8d0-797892bfec3e,06-03-2023 16:41:54,2.0,46.0
9aa7eb47-5343-457f-b239-ba9cbc29ac38,e6d0f94e-08f7-479b-baf0-dc8f9dc0be90,06-02-2023 22:09:55,1.0,21.0
41b162d2-1593-4526-b896-a172fede34d5,a091af0a-6f95-4003-a6c1-29078339679a,06-09-2023 04:35:19,1.0,34.0
95b389f5-a0f1-411b-8731-9545205bb035,6cc265d1-c360-4e8a-8c94-e0073526a6a0,06-09-2023 16:46:47,2.0,58.0
