user_id,id,transaction_date,item_count,amount
58e43324-5392-4d41-8296-95cc7adc7373,84e3d730-5ec0-4b11-9739-60d3eb026fd4,06-02-2023 03:39:34,1.0,13.0
931f56bb-e8a8-45b9-8189-adb024d2ee18,ff4fcb80-7aa7-4e4e-b4a9-0a7fccd7582e,06-09-2023 16:57:58,2.0,74.0
28212055-58ca-446d-b774-10adeb80e517,58b66044-9b54-48c4-abb1-b0e55a400e35,06-08-2023 15:22:21,3.0,105.0
ada66155-9510-4b2b-949a-b524b12a4abb,294a09e8-84dd-41c9-8419-47ecfd71803c,06-01-2023 04:20:59,3.0,105.0
326b384c-7fbc-4f36-a37b-ba6127d11b3e,99e6f56a-421c-47bd-aa52-0e18f2219077,06-07-2023 20:55:05,1.0,37.0
8a4cddb2-f6cc-4fd8-ba2c-6d86d1098038,65752a3a-bfd4-4875-a4b9-b348a4efab80,06-02-2023 17:14:53,1.0,30.0
4b014c9f-ba88-4aad-b46c-3c38e8b62267,9ec5490b-6cb4-4867-b0c3-ff78f8f8fa78,06-06-2023 12:22:54,1.0,39.0
bf55d3c1-863d-4032-b1bd-fb28a15ae486,486d41cb-58b9-4d4b-9d32-534ab0c72d98,06-07-2023 04:25:00,1.0,34.0
1dd2655d-6374-43ea-bbe3-e06a93f7814a,61efbfd3-d91d-41db-b0db-310e195eb776,06-09-2023 00:42:05,2.0,40.0
06f765a9-a47b-48c8-b2e5-9ecb3b320d3a,f759435f-9fca-4e6e-ace2-e95bec641b17,06-05-2023 14:27:05,2.0,80.0
997f6ab8-2733-4494-8e46-49532d304fb6,e9ae49b8-d125-4b6a-a974-e4ccc89c828b,06-08-2023 19:47:02,3.0,99.0
32ec94b9-5cfe-4728-a2b7-2b10cf45bb00,5117ef00-2356-485d-9beb-1fae5b4d647a,06-01-2023 05:08:47,2.0,56.0
0afc1492-96fc-4148-b893-1c5444b21cd6,3e17a205-b1ca-4b66-ae60-dc2e20cce7ae,06-03-2023 15:18:19,3.0,108.0
